metric,llm,vs,n_pairs,llm_mean,other_mean,wilcoxon_stat,p_value
regret,llm:conservative:gemma3:27b:L2,arima,30,0.10915216835713676,0.03270421976871468,12.0,0.019223439097549075
regret,llm:conservative:gemma3:27b:L2,early-stopping,30,0.10915216835713676,0.12417758449273357,28.0,0.221330082993901
regret,llm:conservative:gemma3:27b:L2,last-seen,30,0.10915216835713676,0.012419202641785572,0.0,0.002217721464237049
regret,llm:conservative:gemma3:27b:L2,oracle,30,0.10915216835713676,0.0,0.0,0.0001960933545337302
regret,llm:conservative:gemma3:27b:L2,random,30,0.10915216835713676,0.07663327479550805,53.0,0.09099512294672402
saved_pct_B,llm:conservative:gemma3:27b:L2,arima,30,0.3798981835199683,0.42370063477030423,147.0,0.0803273618221283
saved_pct_B,llm:conservative:gemma3:27b:L2,early-stopping,30,0.3798981835199683,0.10021637781672672,24.0,1.4193356037139893e-06
saved_pct_B,llm:conservative:gemma3:27b:L2,last-seen,30,0.3798981835199683,0.4080676831573807,152.0,0.10039735585451126
saved_pct_B,llm:conservative:gemma3:27b:L2,oracle,30,0.3798981835199683,0.47678375289368463,85.0,0.001718590036034584
saved_pct_B,llm:conservative:gemma3:27b:L2,random,30,0.3798981835199683,0.3176876191353868,159.0,0.13473508320748806
