policy,experiment_id,seed,unit_id,trial,epoch,n_epochs,checkpoint,action,confidence,latency_s,tokens,votes,current_val,best_so_far_final_val,best_val_at_epoch,ground_truth_continue,label,after_effective_stop,final_val,epoch_time,raw
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,0,HSF15_cooler_fcn_1e0c9,3,3,44,3,PRUNE,1.0,2.1212360999779776,393,PRUNE,0.4218314172442886,0.020620204193717448,0.2233353942415521,False,OK,False,0.06237978097221467,30.575876832008362,DECISION: PRUNE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,0,HSF15_cooler_fcn_1e0c9,3,4,44,3,PRUNE,1.0,2.158387900039088,401,PRUNE,0.31361240423953723,0.020620204193717448,0.12700263918399582,False,OK,False,0.06237978097221467,30.575876832008362,DECISION: PRUNE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,0,HSF15_cooler_fcn_7b7c1,4,3,14,3,CONTINUE,1.0,1.9083166000200436,392,CONTINUE,0.030647533738570605,0.020620204193717448,0.2233353942415521,True,OK,False,0.010280445513273662,129.2061004127775,DECISION: CONTINUE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,0,HSF15_cooler_fcn_7b7c1,4,4,14,3,CONTINUE,1.0,2.117102899996098,400,CONTINUE,0.02900386785500547,0.020620204193717448,0.12700263918399582,True,OK,False,0.010280445513273662,129.2061004127775,DECISION: CONTINUE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,0,HSF15_cooler_fcn_7b7c1,4,5,14,3,CONTINUE,1.0,2.109400100016501,408,CONTINUE,0.023219738722175812,0.020620204193717448,0.09777376231491403,True,OK,False,0.010280445513273662,129.2061004127775,DECISION: CONTINUE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,0,HSF15_cooler_fcn_7b7c1,4,6,14,3,CONTINUE,1.0,2.0144290000316687,408,CONTINUE,0.01696350473686045,0.020620204193717448,0.06981063127918966,True,OK,False,0.010280445513273662,129.2061004127775,DECISION: CONTINUE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,0,HSF15_cooler_fcn_7b7c1,4,7,14,3,CONTINUE,1.0,2.40339039999526,408,CONTINUE,0.0642443296153764,0.020620204193717448,0.06373222578685098,True,OK,False,0.010280445513273662,129.2061004127775,DECISION: CONTINUE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,0,HSF15_cooler_fcn_7b7c1,4,8,14,3,CONTINUE,1.0,2.1608040999853984,408,CONTINUE,0.033094031013532206,0.020620204193717448,0.04271853912741629,True,OK,False,0.010280445513273662,129.2061004127775,DECISION: CONTINUE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,0,HSF15_cooler_fcn_7b7c1,4,9,14,3,PRUNE,1.0,2.2193151999963447,409,PRUNE,0.017693310740079345,0.020620204193717448,0.0434355357850208,True,FP,False,0.010280445513273662,129.2061004127775,DECISION: PRUNE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,0,HSF15_cooler_fcn_7b7c1,4,10,14,3,CONTINUE,1.0,2.0479500999790616,409,CONTINUE,0.02131051716900079,0.020620204193717448,0.03680101243236483,True,OK,False,0.010280445513273662,129.2061004127775,DECISION: CONTINUE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,0,HSF15_cooler_fcn_7b7c1,4,11,14,3,CONTINUE,1.0,2.1304093000362627,409,CONTINUE,0.016214134308853156,0.020620204193717448,0.03584572222468943,True,OK,False,0.010280445513273662,129.2061004127775,DECISION: CONTINUE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,0,HSF15_cooler_fcn_7b7c1,4,12,14,3,CONTINUE,1.0,2.1253279999946244,409,CONTINUE,0.01089256688642571,0.020620204193717448,0.03867365719166684,True,OK,False,0.010280445513273662,129.2061004127775,DECISION: CONTINUE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,0,HSF15_cooler_fcn_7b7c1,4,13,14,3,CONTINUE,1.0,2.126882500015199,409,CONTINUE,0.010280445513273662,0.020620204193717448,0.044103142340680544,True,OK,False,0.010280445513273662,129.2061004127775,DECISION: CONTINUE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,0,HSF15_cooler_fcn_0d18d,5,3,17,3,PRUNE,1.0,2.1154172000242397,393,PRUNE,0.5816915810772196,0.010280445513273662,0.030647533738570605,False,OK,False,0.6415217349151774,37.219560118282544,DECISION: PRUNE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,0,HSF15_cooler_fcn_0d18d,5,4,17,3,PRUNE,1.0,2.200453999976162,401,PRUNE,0.4339768814223292,0.010280445513273662,0.02900386785500547,False,OK,False,0.6415217349151774,37.219560118282544,DECISION: PRUNE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,0,HSF15_cooler_fcn_013f3,6,3,38,3,PRUNE,1.0,2.0028617000207305,393,PRUNE,0.3727883867223365,0.010280445513273662,0.030647533738570605,False,OK,False,0.04144053695397975,31.536435033145704,DECISION: PRUNE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,0,HSF15_cooler_fcn_013f3,6,4,38,3,PRUNE,1.0,2.1758702999795787,401,PRUNE,0.28717591653264596,0.010280445513273662,0.02900386785500547,False,OK,False,0.04144053695397975,31.536435033145704,DECISION: PRUNE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,0,HSF15_cooler_fcn_57056,7,3,14,3,PRUNE,1.0,2.165291699988302,393,PRUNE,0.14943070456224591,0.010280445513273662,0.030647533738570605,False,OK,False,0.13018269278294578,34.32393642834255,DECISION: PRUNE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,0,HSF15_cooler_fcn_57056,7,4,14,3,PRUNE,1.0,1.975183000031393,401,PRUNE,0.12548613404051745,0.010280445513273662,0.02900386785500547,False,OK,False,0.13018269278294578,34.32393642834255,DECISION: PRUNE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,0,HSF15_cooler_fcn_54527,8,3,35,3,PRUNE,1.0,2.197663100028876,393,PRUNE,0.6054745501996317,0.010280445513273662,0.030647533738570605,False,OK,False,0.08341870422847254,33.86439433097839,DECISION: PRUNE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,0,HSF15_cooler_fcn_54527,8,4,35,3,PRUNE,1.0,2.364648099988699,401,PRUNE,0.4425701960726421,0.010280445513273662,0.02900386785500547,False,OK,False,0.08341870422847254,33.86439433097839,DECISION: PRUNE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,0,HSF15_cooler_fcn_1ab38,9,3,37,3,PRUNE,1.0,2.205534800013993,393,PRUNE,0.4710799458111117,0.010280445513273662,0.030647533738570605,False,OK,False,0.024294771211850006,39.12032495962607,DECISION: PRUNE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,0,HSF15_cooler_fcn_1ab38,9,4,37,3,PRUNE,1.0,2.1677844999940135,401,PRUNE,0.4130608854143271,0.010280445513273662,0.02900386785500547,False,OK,False,0.024294771211850006,39.12032495962607,DECISION: PRUNE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,0,HSF15_cooler_fcn_01d60,10,3,33,3,PRUNE,1.0,2.089330799994059,394,PRUNE,0.4545914262236675,0.010280445513273662,0.030647533738570605,False,OK,False,0.2750601090590379,54.74899322336371,DECISION: PRUNE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,0,HSF15_cooler_fcn_01d60,10,4,33,3,PRUNE,1.0,2.1811346999602392,402,PRUNE,0.43602030337324077,0.010280445513273662,0.02900386785500547,False,OK,False,0.2750601090590379,54.74899322336371,DECISION: PRUNE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,0,HSF15_cooler_fcn_08107,11,3,44,3,PRUNE,1.0,2.0139768999652006,394,PRUNE,0.33723681338028405,0.010280445513273662,0.030647533738570605,False,OK,False,0.0372524166459501,41.01424125649711,DECISION: PRUNE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,0,HSF15_cooler_fcn_08107,11,4,44,3,PRUNE,1.0,2.098954399989452,402,PRUNE,0.37936038969147895,0.010280445513273662,0.02900386785500547,False,OK,False,0.0372524166459501,41.01424125649711,DECISION: PRUNE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,1,HSF15_cooler_fcn_298e7,3,3,45,3,PRUNE,1.0,2.0912281000055373,393,PRUNE,0.9838537696846806,0.03407529089564819,0.14981296827028381,False,OK,False,0.9806851258096106,38.829660156038074,DECISION: PRUNE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,1,HSF15_cooler_fcn_298e7,3,4,45,3,PRUNE,1.0,1.9738540000398643,401,PRUNE,0.9834044629364994,0.03407529089564819,0.16427057090474048,False,OK,False,0.9806851258096106,38.829660156038074,DECISION: PRUNE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,1,HSF15_cooler_fcn_01d60,4,3,33,3,PRUNE,1.0,2.1381324999965727,393,PRUNE,0.4545914262236675,0.03407529089564819,0.14981296827028381,False,OK,False,0.2750601090590379,54.74899322336371,DECISION: PRUNE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,1,HSF15_cooler_fcn_01d60,4,4,33,3,PRUNE,1.0,2.18964340002276,401,PRUNE,0.43602030337324077,0.03407529089564819,0.16427057090474048,False,OK,False,0.2750601090590379,54.74899322336371,DECISION: PRUNE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,1,HSF15_cooler_fcn_1ab38,5,3,37,3,PRUNE,1.0,2.2029936999897473,393,PRUNE,0.4710799458111117,0.03407529089564819,0.14981296827028381,False,OK,False,0.024294771211850006,39.12032495962607,DECISION: PRUNE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,1,HSF15_cooler_fcn_1ab38,5,4,37,3,PRUNE,1.0,2.1972559000132605,401,PRUNE,0.4130608854143271,0.03407529089564819,0.16427057090474048,False,OK,False,0.024294771211850006,39.12032495962607,DECISION: PRUNE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,1,HSF15_cooler_fcn_b0b7c,6,3,13,3,CONTINUE,1.0,2.175476999953389,392,CONTINUE,0.3816114697524135,0.03407529089564819,0.14981296827028381,False,FC,False,0.5685867516816567,20.261398498828594,DECISION: CONTINUE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,1,HSF15_cooler_fcn_b0b7c,6,4,13,3,CONTINUE,1.0,2.035521699988749,400,CONTINUE,0.35791369271274315,0.03407529089564819,0.16427057090474048,False,FC,False,0.5685867516816567,20.261398498828594,DECISION: CONTINUE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,1,HSF15_cooler_fcn_b0b7c,6,5,13,3,PRUNE,1.0,2.109887400001753,409,PRUNE,0.6067060579887046,0.03407529089564819,0.10555917149704608,False,OK,False,0.5685867516816567,20.261398498828594,DECISION: PRUNE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,1,HSF15_cooler_fcn_b0b7c,6,6,13,3,PRUNE,1.0,2.005912200023886,409,PRUNE,0.6168639909582158,0.03407529089564819,0.17716339429987896,False,OK,False,0.5685867516816567,20.261398498828594,DECISION: PRUNE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,1,HSF15_cooler_fcn_04c75,7,3,12,3,PRUNE,1.0,2.1718238999601454,393,PRUNE,0.5787865703358644,0.03407529089564819,0.14981296827028381,False,OK,False,0.835711273575026,38.58639748891195,DECISION: PRUNE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,1,HSF15_cooler_fcn_04c75,7,4,12,3,PRUNE,1.0,2.2103771999827586,401,PRUNE,0.8764560880023268,0.03407529089564819,0.16427057090474048,False,OK,False,0.835711273575026,38.58639748891195,DECISION: PRUNE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,1,HSF15_cooler_fcn_2cdae,8,3,38,3,PRUNE,1.0,2.1787538999924436,393,PRUNE,0.8040534478630251,0.03407529089564819,0.14981296827028381,False,OK,False,0.5298435420954205,47.4720053108115,DECISION: PRUNE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,1,HSF15_cooler_fcn_2cdae,8,4,38,3,PRUNE,1.0,2.168257600045763,401,PRUNE,0.7657447511434279,0.03407529089564819,0.16427057090474048,False,OK,False,0.5298435420954205,47.4720053108115,DECISION: PRUNE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,1,HSF15_cooler_fcn_1e0c9,9,3,44,3,PRUNE,1.0,2.002325999957975,393,PRUNE,0.4218314172442886,0.03407529089564819,0.14981296827028381,False,OK,False,0.06237978097221467,30.575876832008362,DECISION: PRUNE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,1,HSF15_cooler_fcn_1e0c9,9,4,44,3,PRUNE,1.0,2.1869834999670275,401,PRUNE,0.31361240423953723,0.03407529089564819,0.16427057090474048,False,OK,False,0.06237978097221467,30.575876832008362,DECISION: PRUNE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,1,HSF15_cooler_fcn_b0c55,10,3,15,3,CONTINUE,1.0,2.107087299984414,393,CONTINUE,0.16897885653356445,0.03407529089564819,0.14981296827028381,False,FC,False,0.13718050652972955,45.7309174378713,DECISION: CONTINUE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,1,HSF15_cooler_fcn_b0c55,10,4,15,3,CONTINUE,1.0,1.9479728000005707,401,CONTINUE,0.13382676480102396,0.03407529089564819,0.16427057090474048,True,OK,False,0.13718050652972955,45.7309174378713,DECISION: CONTINUE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,1,HSF15_cooler_fcn_b0c55,10,5,15,3,PRUNE,1.0,2.10195790004218,410,PRUNE,0.15763031164179922,0.03407529089564819,0.10555917149704608,False,OK,False,0.13718050652972955,45.7309174378713,DECISION: PRUNE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,1,HSF15_cooler_fcn_b0c55,10,6,15,3,CONTINUE,1.0,1.9398209999781102,409,CONTINUE,0.10412509512714242,0.03407529089564819,0.17716339429987896,True,OK,False,0.13718050652972955,45.7309174378713,DECISION: CONTINUE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,1,HSF15_cooler_fcn_b0c55,10,7,15,3,CONTINUE,1.0,2.2021132000372745,409,CONTINUE,0.17028667204262413,0.03407529089564819,0.09859462894942335,False,FC,False,0.13718050652972955,45.7309174378713,DECISION: CONTINUE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,1,HSF15_cooler_fcn_b0c55,10,8,15,3,PRUNE,1.0,2.1752427999745123,410,PRUNE,0.1225083473222552,0.03407529089564819,0.07580979175624258,False,OK,False,0.13718050652972955,45.7309174378713,DECISION: PRUNE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,1,HSF15_cooler_fcn_b0c55,10,9,15,3,PRUNE,1.0,2.1427887000027113,410,PRUNE,0.17983910172576595,0.03407529089564819,0.08803170041305353,False,OK,False,0.13718050652972955,45.7309174378713,DECISION: PRUNE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,1,HSF15_cooler_fcn_6927b,11,3,33,3,PRUNE,1.0,2.1757805999950506,394,PRUNE,0.39121038112373985,0.03407529089564819,0.14981296827028381,False,OK,False,0.019355639705735044,54.7530380523566,DECISION: PRUNE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,1,HSF15_cooler_fcn_6927b,11,4,33,3,PRUNE,1.0,2.1214320000144653,402,PRUNE,1.0,0.03407529089564819,0.16427057090474048,False,OK,False,0.019355639705735044,54.7530380523566,DECISION: PRUNE
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,2,HSF15_cooler_fcn_b0b7c,3,3,13,3,CONTINUE,1.0,2.132272200018633,392,CONTINUE,0.3816114697524135,0.05679478052017229,0.2553430354547418,False,FC,False,0.5685867516816567,20.261398498828594,DECISION: CONTINUE
