policy,experiment_id,seed,filter_best_loss,real_best_loss,regret,rank_pct,num_runs,num_prunings,total_epochs,epochs_avoided,total_train_time,saved_time_A,saved_time_B,n_decisions,false_continues,false_prunes,llm_calls,input_tokens,output_tokens,total_latency_s,mean_confidence,saved_pct_A,saved_pct_B,found_best
llm:neutral:llama3.3:70b:L2,HSF15_cooler_fcn,0,0.020620204193717448,0.010280445513273662,0.010339758680443786,0.09090909090909091,12,9,328,189,13706.10070157051,6854.35964868402,6678.34261765201,44,19,5,44,13610,264,753.6143952999264,1.0,0.5000955266510346,0.4872532869167358,False
llm:neutral:llama3.3:70b:L2,HSF15_cooler_fcn,1,0.03407529089564819,0.019355639705735044,0.014719651189913145,0.18181818181818182,12,9,346,210,15713.402077674866,8882.787108956418,8672.301762957593,33,12,1,33,10167,198,791.9579208999057,1.0,0.5653000581953426,0.5519047829418775,False
llm:neutral:llama3.3:70b:L2,HSF15_cooler_fcn,2,0.05679478052017229,0.000186184246558675,0.056608596273613615,0.2727272727272727,12,9,338,188,14528.468924760818,7944.2398453238675,7733.295426926221,31,11,8,31,9541,186,743.2723972999374,1.0,0.5468050271824946,0.5322856432412085,False
llm:neutral:llama3.3:70b:L2,MOSFET11_rul_fcn,0,0.5448071975883324,0.5005287381213289,0.044278459467003484,0.18181818181818182,12,9,201,77,1867.0524463653564,707.6681879084339,625.8220296959935,50,22,2,50,15488,300,1205.7411618002807,1.0,0.37902962462895534,0.335192528155435,False
llm:neutral:llama3.3:70b:L2,MOSFET11_rul_fcn,1,0.9125135175002961,0.5005287381213289,0.41198477937896716,0.45454545454545453,12,9,200,41,1811.45760512352,372.6357039133876,334.3479027608966,96,2,26,96,29886,576,727.1297940998338,1.0,0.20571041953144592,0.18457395956451217,False
llm:neutral:llama3.3:70b:L2,MOSFET11_rul_fcn,2,0.715908244330698,0.5731359244008939,0.1427723199298041,0.09090909090909091,12,9,170,44,1501.4548499584198,396.3732883883915,371.45774628853377,46,7,4,46,14236,276,126.85112929984462,1.0,0.2639928123042583,0.24739854568308908,False
llm:neutral:llama3.3:70b:L2,MPM20_fault_fcn,0,0.5860525418354676,0.16046598149663246,0.42558656033883513,0.18181818181818182,12,9,250,160,1371.3805210590363,807.0157660072288,782.5872295073201,26,5,1,26,7976,156,69.9934223999735,1.0,0.5884696140966171,0.5706565154527455,False
llm:neutral:llama3.3:70b:L2,MPM20_fault_fcn,1,0.12661303079431782,0.12661303079431782,0.0,0.0,12,9,346,148,1810.8446323871613,760.7319407092301,735.6443423091561,25,1,7,25,7663,150,69.09454340004595,1.0,0.4200978521864622,0.40624376556225406,True
llm:neutral:llama3.3:70b:L2,MPM20_fault_fcn,2,0.5645525197834571,0.14422158249857206,0.420330937284885,0.6363636363636364,12,9,216,38,1208.9173288345337,216.4981493811202,191.19650388105862,111,9,19,111,34581,666,305.94721490022494,1.0,0.17908432960410695,0.1581551519865987,False
llm:neutral:llama3.3:70b:L2,OBDD17_rul_fcn,0,0.02694932491398248,0.007552439009524783,0.0193968859044577,0.45454545454545453,12,9,468,314,15790.881395339966,9053.456016475497,9028.098707475512,47,27,0,47,14549,282,129.41094860009616,1.0,0.5733344320569246,0.5717286123205122,False
