metric,llm,vs,n_pairs,llm_mean,other_mean,wilcoxon_stat,p_value
regret,llm:neutral:llama3.3:70b:L2,arima,30,0.14075722513862005,0.03270421976871468,0.0,0.0033456181158508813
regret,llm:neutral:llama3.3:70b:L2,early-stopping,30,0.14075722513862005,0.12417758449273357,0.0,0.027707849358079864
regret,llm:neutral:llama3.3:70b:L2,last-seen,30,0.14075722513862005,0.012419202641785572,0.0,0.00043777719457466344
regret,llm:neutral:llama3.3:70b:L2,oracle,30,0.14075722513862005,0.0,0.0,4.0052719907497814e-05
regret,llm:neutral:llama3.3:70b:L2,random,30,0.14075722513862005,0.07663327479550805,15.0,0.002138438026250584
saved_pct_B,llm:neutral:llama3.3:70b:L2,arima,30,0.4694879504483004,0.42370063477030423,210.0,0.6554384250193834
saved_pct_B,llm:neutral:llama3.3:70b:L2,early-stopping,30,0.4694879504483004,0.10021637781672672,0.0,1.862645149230957e-09
saved_pct_B,llm:neutral:llama3.3:70b:L2,last-seen,30,0.4694879504483004,0.4080676831573807,178.0,0.2710056286305189
saved_pct_B,llm:neutral:llama3.3:70b:L2,oracle,30,0.4694879504483004,0.47678375289368463,208.0,0.6263462882488966
saved_pct_B,llm:neutral:llama3.3:70b:L2,random,30,0.4694879504483004,0.3176876191353868,58.0,0.00013739429414272308
