policy,experiment_id,seed,filter_best_loss,real_best_loss,regret,rank_pct,num_runs,num_prunings,total_epochs,epochs_avoided,total_train_time,saved_time_A,saved_time_B,n_decisions,false_continues,false_prunes,llm_calls,input_tokens,output_tokens,total_latency_s,mean_confidence,saved_pct_A,saved_pct_B,found_best
llm:neutral:llama3.3:70b:L2,HSF15_cooler_fcn,0,0.020620204193717448,0.010280445513273662,0.010339758680443786,0.09090909090909091,12,9,328,189,13706.10070157051,7135.17051347056,7110.3902331706095,44,21,4,44,13610,264,113.87041799986036,1.0,0.5205835466138796,0.5187755721330624,False
llm:neutral:llama3.3:70b:L2,HSF15_cooler_fcn,1,0.03407529089564819,0.019355639705735044,0.014719651189913145,0.18181818181818182,12,9,346,213,15713.402077674866,9017.488299876244,8994.05558767638,30,9,0,30,9228,180,78.53807119978592,1.0,0.5738724341998492,0.5723811777498437,False
llm:neutral:llama3.3:70b:L2,HSF15_cooler_mscnn,0,0.00491833966225385,0.00491833966225385,0.0,0.0,12,9,431,251,15091.831056594849,6249.918484544254,6223.456735744305,49,26,1,49,15175,294,140.98127150005894,1.0,0.41412592422396327,0.41237254196698486,True
llm:neutral:llama3.3:70b:L2,HSF15_cooler_mscnn,1,0.06752985854213234,0.015540962326052283,0.051988896216080056,0.2727272727272727,12,8,460,136,10439.622333049774,4265.833692709737,4242.715545809708,142,5,14,142,44284,852,356.0960325000342,1.0,0.4086195416480684,0.40640507965294026,False
llm:neutral:llama3.3:70b:L2,HSF15_cooler_rnn,0,0.001239838544279325,0.001239838544279325,0.0,0.0,12,9,392,217,11170.767069339752,6377.458474823428,6353.892250623418,24,3,1,24,7350,144,64.8120514001348,1.0,0.570906047475249,0.5687964139958532,True
llm:neutral:llama3.3:70b:L2,HSF15_cooler_rnn,1,0.6560556001622333,0.001239838544279325,0.654815761617954,0.7272727272727273,12,9,268,103,8857.520893573761,3957.155362645726,3930.43686804575,89,2,22,89,27695,534,261.25711509987013,1.0,0.4467565372063294,0.4437400617250962,False
llm:neutral:llama3.3:70b:L2,HSF15_cooler_transformer,0,0.12905691506383576,0.014471546856203162,0.1145853682076326,0.45454545454545453,12,9,195,80,4522.173143386841,903.7036698779586,879.2163868779928,47,3,12,47,14549,282,131.63625989982393,1.0,0.19983836116481332,0.1944234240928492,False
llm:neutral:llama3.3:70b:L2,HSF15_cooler_transformer,1,0.011643471564616648,0.0013228064488962916,0.010320665115720357,0.2727272727272727,12,9,341,220,4180.627424955368,2877.0460868588575,2851.435022758918,34,6,9,34,10480,204,96.07300839980599,1.0,0.6881852397764368,0.6820591104908995,False
random,HSF15_cooler_fcn,0,0.020620204193717448,0.0065373283659619745,0.014082875827755473,0.18181818181818182,12,6,346,152,14687.385870218277,6379.539548794424,6379.539548794424,99,87,6,0,0,0,0.0,1.0,0.4343550040262961,0.4343550040262961,False
random,HSF15_cooler_fcn,1,0.03407529089564819,0.024294771211850006,0.009780519683798183,0.09090909090909091,12,4,357,133,15251.890402555466,5904.584790460521,5904.584790460521,121,111,0,0,0,0,0.0,1.0,0.3871378979664844,0.3871378979664844,False
random,HSF15_cooler_mscnn,0,0.00491833966225385,0.00491833966225385,0.0,0.0,12,5,452,142,15074.175142765045,2892.7886536386472,2892.7886536386472,179,167,0,0,0,0,0.0,1.0,0.1919036117227987,0.1919036117227987,True
random,HSF15_cooler_mscnn,1,0.015540962326052283,0.015540962326052283,0.0,0.0,12,4,478,91,11086.366675376892,2036.3697879718186,2036.3697879718186,205,23,3,0,0,0,0.0,1.0,0.18368234134765257,0.18368234134765257,True
random,HSF15_cooler_rnn,0,0.001239838544279325,0.001239838544279325,0.0,0.0,12,6,392,129,11170.767069339752,5015.313278752637,5015.313278752637,112,97,0,0,0,0,0.0,1.0,0.44896767138920096,0.44896767138920096,True
random,HSF15_cooler_rnn,1,0.10818979863560674,0.001239838544279325,0.10694996009132741,0.18181818181818182,12,4,295,100,7313.673882007599,3868.2790040228424,3868.2790040228424,119,51,7,0,0,0,0.0,1.0,0.5289105128872662,0.5289105128872662,False
random,HSF15_cooler_transformer,0,0.014471546856203162,0.0002979373061909035,0.014173609550012258,0.09090909090909091,12,6,204,74,3565.6895458698273,649.6805796009355,649.6805796009355,62,4,3,0,0,0,0.0,1.0,0.1822033497990499,0.1822033497990499,False
random,HSF15_cooler_transformer,1,0.0013228064488962916,0.0013228064488962916,0.0,0.0,12,4,341,120,4365.49169421196,2096.6276419263354,2096.6276419263354,134,63,1,0,0,0,0.0,1.0,0.48027296551867793,0.48027296551867793,True
last-seen,HSF15_cooler_fcn,0,0.010280445513273662,0.010280445513273662,0.0,0.0,12,8,344,222,15276.620302200317,8389.021149711565,8389.021149711565,27,0,1,0,0,0,0.0,1.0,0.5491411702170329,0.5491411702170329,True
last-seen,HSF15_cooler_fcn,1,0.03407529089564819,0.019355639705735044,0.014719651189913145,0.18181818181818182,12,9,346,225,15713.402077674866,9519.634197166557,9519.634197166557,18,0,1,0,0,0,0.0,1.0,0.6058289700797366,0.6058289700797366,False
last-seen,HSF15_cooler_mscnn,0,0.00491833966225385,0.00491833966225385,0.0,0.0,12,9,431,282,15091.831056594849,7895.304980729535,7895.304980729535,18,0,0,0,0,0,0.0,1.0,0.523150898729378,0.523150898729378,True
last-seen,HSF15_cooler_mscnn,1,0.06752985854213234,0.015540962326052283,0.051988896216080056,0.2727272727272727,12,6,479,205,9425.27711558342,3768.649793807622,3768.649793807622,92,21,4,0,0,0,0.0,1.0,0.39984498573274513,0.39984498573274513,False
last-seen,HSF15_cooler_rnn,0,0.001239838544279325,0.001239838544279325,0.0,0.0,12,9,392,223,11170.767069339752,6466.520118443171,6466.520118443171,18,0,0,0,0,0,0.0,1.0,0.5788787894603709,0.5788787894603709,True
last-seen,HSF15_cooler_rnn,1,0.001239838544279325,0.001239838544279325,0.0,0.0,12,5,290,96,8851.88862657547,2514.4552063077467,2514.4552063077467,118,19,3,0,0,0,0.0,1.0,0.28405861306916536,0.28405861306916536,True
last-seen,HSF15_cooler_transformer,0,0.0002979373061909035,0.0002979373061909035,0.0,0.0,12,7,218,97,3625.7991478443146,849.9788987269333,849.9788987269333,53,1,3,0,0,0,0.0,1.0,0.23442525745869855,0.23442525745869855,True
last-seen,HSF15_cooler_transformer,1,0.0013228064488962916,0.0013228064488962916,0.0,0.0,12,8,321,179,4264.2865262031555,2786.211231877366,2786.211231877366,55,0,1,0,0,0,0.0,1.0,0.6533827440432711,0.6533827440432711,True
arima,HSF15_cooler_fcn,0,0.020620204193717448,0.010280445513273662,0.010339758680443786,0.09090909090909091,12,9,328,212,13706.10070157051,7740.308487894981,7740.308487894981,21,0,5,0,0,0,0.0,1.0,0.5647345409484741,0.5647345409484741,False
arima,HSF15_cooler_fcn,1,0.03407529089564819,0.019355639705735044,0.014719651189913145,0.18181818181818182,12,9,346,225,15713.402077674866,9519.634197166557,9519.634197166557,18,0,1,0,0,0,0.0,1.0,0.6058289700797366,0.6058289700797366,False
arima,HSF15_cooler_mscnn,0,0.00491833966225385,0.00491833966225385,0.0,0.0,12,9,431,282,15091.831056594849,7895.304980729535,7895.304980729535,18,0,0,0,0,0,0.0,1.0,0.523150898729378,0.523150898729378,True
arima,HSF15_cooler_mscnn,1,0.06752985854213234,0.015540962326052283,0.051988896216080056,0.2727272727272727,12,8,460,235,10439.622333049774,4886.840288354145,4886.840288354145,43,0,7,0,0,0,0.0,1.0,0.46810508392467204,0.46810508392467204,False
arima,HSF15_cooler_rnn,0,0.001239838544279325,0.001239838544279325,0.0,0.0,12,9,392,222,11170.767069339752,6433.512980503127,6433.512980503127,19,1,0,0,0,0,0.0,1.0,0.5759240113564896,0.5759240113564896,True
arima,HSF15_cooler_rnn,1,0.001239838544279325,0.001239838544279325,0.0,0.0,12,6,263,109,7347.434104442596,3066.164634179893,3066.164634179893,78,16,2,0,0,0,0.0,1.0,0.4173109401996472,0.4173109401996472,True
