policy,n,regret_mean,regret_median,regret_ci95,rank_pct_mean,found_best_rate,saved_pct_A_mean,saved_pct_A_ci95,saved_pct_B_mean,saved_pct_B_ci95,epochs_avoided_mean,false_continue_rate,false_prune_rate,prune_rate,mean_confidence,total_tokens,total_latency_s,score
llm:gemma3:27b:L2,1,0.0,0.0,0.0,0.0,1.0,0.2228952419496636,0.0,0.22240176163889155,0.0,51.0,0.0,0.06666666666666667,0.3333333333333333,1.0,26942,123.90051970000786,1.0
llm:gemma3:27b:L3,1,0.0,0.0,0.0,0.0,1.0,0.2228952419496636,0.0,0.2222686741506623,0.0,51.0,0.0,0.06666666666666667,0.3333333333333333,1.0,35409,151.7754451001383,0.9994031254856018
llm:gpt-oss:20b:L2,1,0.0,0.0,0.0,0.0,1.0,0.2187373243404277,0.0,0.21545518079811415,0.0,50.0,0.0625,0.125,0.3333333333333333,1.0,70568,501.31654689993593,0.9688457786585901
llm:gpt-oss:120b:L2,1,0.0,0.0,0.0,0.0,1.0,0.21042148912195593,0.0,0.20906598671942447,0.0,48.0,0.1111111111111111,0.05555555555555555,0.3333333333333333,1.0,42339,280.0248459999857,0.9401913411614735
llm:llama3.3:70b:L2,1,0.0,0.0,0.0,0.0,1.0,0.20445666419961445,0.0,0.20363979600215038,0.0,47.0,0.15789473684210525,0.05263157894736842,0.3333333333333333,1.0,23772,163.69634620007128,0.9158558082537844
llm:gpt-oss:120b:L3,1,0.0,0.0,0.0,0.0,1.0,0.20029874659037858,0.0,0.19879105136113,0.0,46.0,0.2,0.05,0.3333333333333333,1.0,52551,335.6651647000108,0.8941100217673469
llm:llama3.3:70b:L3,1,0.0,0.0,0.0,0.0,1.0,0.17589534391798803,0.0,0.17487696728471452,0.0,41.0,0.36,0.04,0.3333333333333333,1.0,30361,205.2626241001126,0.786859464180752
llm:gemma4:31b:L3,1,0.0,0.0,0.0,0.0,1.0,0.16703540571649148,0.0,0.15995855753747176,0.0,38.0,0.39285714285714285,0.0,0.3333333333333333,1.0,73525,1940.33087720006,0.7199529601062332
llm:gpt-oss:20b:L3,1,0.0,0.0,0.0,0.0,1.0,0.16107058079415004,0.0,0.15898581105542461,0.0,37.0,0.3103448275862069,0.06896551724137931,0.3333333333333333,1.0,77587,506.9148552000697,0.7155903592950716
llm:gemma4:31b:L2,1,0.0,0.0,0.0,0.0,1.0,0.1587195704980197,0.0,0.15308665121780599,0.0,36.0,0.4,0.0,0.3333333333333333,1.0,62238,1834.0822519999783,0.6891336411596272
llm:llama3.3:70b:L0,1,0.0,0.0,0.0,0.0,1.0,0.09979002262166124,0.0,0.0995493776151048,0.0,24.0,0.6904761904761905,0.0,0.16666666666666666,1.0,14202,117.49955199996475,0.4490281691203045
llm:gemma3:12b:L2,1,0.0,0.0,0.0,0.0,1.0,0.03326334087388708,0.0,0.03311113962958034,0.0,8.0,0.7413793103448276,0.0,0.16666666666666666,1.0,26907,73.004936599973,0.15106408877964347
llm:gemma3:27b:L1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.015151515151515152,0.0,1.0,22745,107.822350500006,0.002566317497558784
llm:llama3.3:70b:L1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7575757575757576,0.0,0.0,1.0,20538,172.0506300998968,0.002566317497558784
llm:llama3.1:8b:L3,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,1.0,30361,44.0666368999955,0.002566317497558784
