scenario,unit_id,epoch,repeat,vote,latency_s,tokens,raw
0,HSF15_cooler_transformer_e7379,11,0,PRUNE,2.089581400010502,410,DECISION: PRUNE
0,HSF15_cooler_transformer_e7379,11,1,PRUNE,0.8017531000077724,410,DECISION: PRUNE
0,HSF15_cooler_transformer_e7379,11,2,PRUNE,0.8125393999798689,410,DECISION: PRUNE
0,HSF15_cooler_transformer_e7379,11,3,PRUNE,0.8078061999985948,410,DECISION: PRUNE
0,HSF15_cooler_transformer_e7379,11,4,PRUNE,0.8510927000024822,410,DECISION: PRUNE
0,HSF15_cooler_transformer_e7379,11,5,PRUNE,0.8295221999869682,410,DECISION: PRUNE
0,HSF15_cooler_transformer_e7379,11,6,PRUNE,0.8007488999865018,410,DECISION: PRUNE
0,HSF15_cooler_transformer_e7379,11,7,PRUNE,0.8288525000098161,410,DECISION: PRUNE
1,HSF15_cooler_transformer_d2229,7,0,PRUNE,1.886272600007942,409,DECISION: PRUNE
1,HSF15_cooler_transformer_d2229,7,1,PRUNE,0.8200921999814454,409,DECISION: PRUNE
1,HSF15_cooler_transformer_d2229,7,2,PRUNE,0.8197893000033218,409,DECISION: PRUNE
1,HSF15_cooler_transformer_d2229,7,3,PRUNE,0.8341632999945432,409,DECISION: PRUNE
1,HSF15_cooler_transformer_d2229,7,4,PRUNE,0.8493059000174981,409,DECISION: PRUNE
1,HSF15_cooler_transformer_d2229,7,5,PRUNE,0.8258035999897402,409,DECISION: PRUNE
1,HSF15_cooler_transformer_d2229,7,6,PRUNE,0.8217451999953482,409,DECISION: PRUNE
1,HSF15_cooler_transformer_d2229,7,7,PRUNE,0.7948256999952719,409,DECISION: PRUNE
2,HSF15_cooler_transformer_e81ec,18,0,PRUNE,1.8042598000029102,410,DECISION: PRUNE
2,HSF15_cooler_transformer_e81ec,18,1,PRUNE,0.8320024999848101,410,DECISION: PRUNE
2,HSF15_cooler_transformer_e81ec,18,2,PRUNE,0.8291134999890346,410,DECISION: PRUNE
2,HSF15_cooler_transformer_e81ec,18,3,PRUNE,0.8116601999790873,410,DECISION: PRUNE
2,HSF15_cooler_transformer_e81ec,18,4,PRUNE,0.8059892999881413,410,DECISION: PRUNE
2,HSF15_cooler_transformer_e81ec,18,5,PRUNE,0.8205263999989256,410,DECISION: PRUNE
2,HSF15_cooler_transformer_e81ec,18,6,PRUNE,0.8139402999950107,410,DECISION: PRUNE
2,HSF15_cooler_transformer_e81ec,18,7,PRUNE,0.8070389999775216,410,DECISION: PRUNE
3,HSF15_cooler_rnn_0f390,15,0,PRUNE,1.7882396000204608,410,DECISION: PRUNE
3,HSF15_cooler_rnn_0f390,15,1,PRUNE,0.8096536000084598,410,DECISION: PRUNE
3,HSF15_cooler_rnn_0f390,15,2,PRUNE,0.8122954000136815,410,DECISION: PRUNE
3,HSF15_cooler_rnn_0f390,15,3,PRUNE,0.8313689000206068,410,DECISION: PRUNE
3,HSF15_cooler_rnn_0f390,15,4,PRUNE,0.826050400006352,410,DECISION: PRUNE
3,HSF15_cooler_rnn_0f390,15,5,PRUNE,0.8140999999886844,410,DECISION: PRUNE
3,HSF15_cooler_rnn_0f390,15,6,PRUNE,0.8476191999798175,410,DECISION: PRUNE
