policy,n,regret_mean,regret_median,regret_ci95,rank_pct_mean,found_best_rate,saved_pct_A_mean,saved_pct_A_ci95,saved_pct_B_mean,saved_pct_B_ci95,epochs_avoided_mean,false_continue_rate,false_prune_rate,prune_rate,mean_confidence,total_tokens,total_latency_s,score
llm:gemma3:12b:L2,1,0.0103397586804437,0.0103397586804437,0.0,0.2,0.0,0.3810282337754714,0.0,0.3805639504699719,0.0,60.0,0.0,0.3333333333333333,0.5,1.0,31981,74.01834190014051,0.3702241917895282
llm:gemma3:12b:L3,1,0.0103397586804437,0.0103397586804437,0.0,0.2,0.0,0.3810282337754714,0.0,0.3805023751691296,0.0,60.0,0.0,0.3333333333333333,0.5,1.0,40455,86.61213079991285,0.3701626164886859
llm:gemma3:27b:L2,1,0.0103397586804437,0.0103397586804437,0.0,0.2,0.0,0.3810282337754714,0.0,0.3802651452006862,0.0,60.0,0.0,0.3333333333333333,0.5,1.0,31982,125.40422700005,0.36992538652024254
llm:gemma3:27b:L3,1,0.0103397586804437,0.0103397586804437,0.0,0.2,0.0,0.3810282337754714,0.0,0.3800909768967264,0.0,60.0,0.0,0.3333333333333333,0.5,1.0,40451,152.73144239999235,0.3697512182162827
llm:llama3.3:70b:L2,1,0.0103397586804437,0.0103397586804437,0.0,0.2,0.0,0.3810282337754714,0.0,0.3797902656627422,0.0,60.0,0.0,0.3333333333333333,0.5,1.0,28788,199.65860269998663,0.36945050698229853
llm:llama3.3:70b:L3,1,0.0103397586804437,0.0103397586804437,0.0,0.2,0.0,0.3810282337754714,0.0,0.3794787313974438,0.0,60.0,0.0,0.3333333333333333,0.5,1.0,35377,201.63856049979225,0.36913897271700014
llm:gpt-oss:20b:L3,1,0.0103397586804437,0.0103397586804437,0.0,0.2,0.0,0.3810282337754714,0.0,0.3783880440891174,0.0,60.0,0.0,0.3333333333333333,0.5,1.0,70277,377.53204860011465,0.36804828540867374
llm:gpt-oss:20b:L2,1,0.0103397586804437,0.0103397586804437,0.0,0.2,0.0,0.3810282337754714,0.0,0.3777760321608823,0.0,60.0,0.0,0.3333333333333333,0.5,1.0,68104,423.99380669981474,0.3674362734804386
llm:llama3.3:70b:L0,1,0.0103397586804437,0.0103397586804437,0.0,0.2,0.0,0.3275194078384297,0.0,0.326803805591041,0.0,48.0,0.6666666666666666,0.1111111111111111,0.5,1.0,19218,118.1644553001388,0.3164640469105973
llm:gemma3:12b:L1,1,0.0103397586804437,0.0103397586804437,0.0,0.2,0.0,0.3168525623238276,0.0,0.3164477287900951,0.0,45.0,0.6190476190476191,0.0952380952380952,0.5,1.0,27806,66.4590210999304,0.3061079701096514
llm:gpt-oss:120b:L2,1,0.0103397586804437,0.0103397586804437,0.0,0.2,0.0,0.3107469040751124,0.0,0.3084473012548946,0.0,56.0,0.0,0.3,0.5,1.0,44508,240.00871319998987,0.29810754257445093
llm:gemma3:27b:L0,1,0.0103397586804437,0.0103397586804437,0.0,0.2,0.0,0.292449159651437,0.0,0.2919671047666096,0.0,40.0,0.7692307692307693,0.0769230769230769,0.5,1.0,20204,78.77544439997291,0.2816273460861659
llm:llama3.1:8b:L1,1,0.0103397586804437,0.0103397586804437,0.0,0.2,0.0,0.2873877883856484,0.0,0.2871440162523633,0.0,39.0,0.7777777777777778,0.074074074074074,0.5,1.0,25554,39.90404299998772,0.2768042575719196
llm:gpt-oss:20b:L0,1,0.0103397586804437,0.0103397586804437,0.0,0.2,0.0,0.252176706872282,0.0,0.2498876035298542,0.0,43.0,0.5217391304347826,0.1304347826086956,0.5,1.0,48048,305.641968299984,0.2395478448494105
llm:gemma3:12b:L0,1,0.0103397586804437,0.0103397586804437,0.0,0.2,0.0,0.2465712326234685,0.0,0.2462422123648457,0.0,41.0,0.6,0.08,0.5,1.0,20206,53.095468299870845,0.235902453684402
llm:llama3.3:70b:L1,1,0.0103397586804437,0.0103397586804437,0.0,0.2,0.0,0.2465712326234685,0.0,0.2454653041521867,0.0,41.0,0.52,0.08,0.5,1.0,25554,178.05322810006328,0.235125545471743
llm:gpt-oss:120b:L0,1,0.0103397586804437,0.0103397586804437,0.0,0.2,0.0,0.2465712326234685,0.0,0.2454371149455683,0.0,41.0,0.48,0.08,0.5,1.0,33943,212.8327297001088,0.2350973562651246
llm:gemma4:31b:L0,1,0.0103397586804437,0.0103397586804437,0.0,0.2,0.0,0.2465712326234685,0.0,0.2352303184053862,0.0,41.0,0.52,0.08,0.5,1.0,52685,1573.1282310000388,0.22489055972494248
llm:gemma3:27b:L1,1,0.0103397586804437,0.0103397586804437,0.0,0.2,0.0,0.2346767911103791,0.0,0.2339663398550201,0.0,36.0,0.7,0.0666666666666666,0.5,1.0,27792,108.38077949997388,0.2236265811745764
llm:gemma4:31b:L1,1,0.0103397586804437,0.0103397586804437,0.0,0.2,0.0,0.2465712326234685,0.0,0.2320679169837038,0.0,41.0,0.52,0.12,0.5,1.0,63414,1759.7393538999313,0.2217281583032601
llm:gpt-oss:120b:L3,1,0.0,0.0,0.0,0.0,1.0,0.2228952419496636,0.0,0.2217006936131457,0.0,51.0,0.0,0.2,0.3333333333333333,1.0,52545,267.12279970000964,0.2217006936131457
llm:llama3.1:8b:L0,1,0.0103397586804437,0.0103397586804437,0.0,0.2,0.0,0.2263257475603139,0.0,0.2261202084738517,0.0,37.0,0.6206896551724138,0.0689655172413793,0.5,1.0,19218,34.24408189996029,0.215780449793408
llm:llama3.1:8b:L3,1,0.0103397586804437,0.0103397586804437,0.0,0.2,0.0,0.2263257475603139,0.0,0.2260554509036031,0.0,37.0,0.5172413793103449,0.0689655172413793,0.5,1.0,35377,43.4864002999384,0.2157156922231594
llm:gemma4:31b:L2,1,0.0,0.0,0.0,0.0,1.0,0.2228952419496636,0.0,0.2156574334900307,0.0,51.0,0.0,0.1333333333333333,0.3333333333333333,1.0,63081,1573.072145899845,0.2156574334900307
llm:gemma4:31b:L3,1,0.0,0.0,0.0,0.0,1.0,0.2228952419496636,0.0,0.2152242169275948,0.0,51.0,0.0,0.0666666666666666,0.3333333333333333,1.0,72711,1670.692888099962,0.2152242169275948
