policy,experiment_id,seed,filter_best_loss,real_best_loss,regret,rank_pct,num_runs,num_prunings,total_epochs,epochs_avoided,total_train_time,saved_time_A,saved_time_B,n_decisions,false_continues,false_prunes,llm_calls,input_tokens,output_tokens,total_latency_s,mean_confidence,saved_pct_A,saved_pct_B,found_best
llm:gemma3:12b:L2,HSF15_cooler_fcn,0,0.020620204193717448,0.010280445513273662,0.010339758680443786,0.09090909090909091,12,9,328,215,13706.10070157051,8127.926789133315,8112.9022372333275,18,0,4,233,111616,1395,372.69517779984744,1.0,0.5930152540176491,0.59191905953994,False
llm:gemma3:12b:L2,HSF15_cooler_fcn,1,0.03407529089564819,0.019355639705735044,0.014719651189913145,0.18181818181818182,12,9,346,225,15713.402077674866,9519.634197166557,9504.683518966562,18,0,1,243,116403,1457,381.2053431000095,1.0,0.6058289700797366,0.6048775097832272,False
llm:gemma3:12b:L2,HSF15_cooler_mscnn,0,0.00491833966225385,0.00491833966225385,0.0,0.0,12,9,431,282,15091.831056594849,7895.304980729535,7880.418426229621,18,0,0,300,143826,1800,482.1777544000943,1.0,0.523150898729378,0.5221645005617808,True
llm:gemma3:12b:L2,HSF15_cooler_mscnn,1,0.272990254351442,0.015540962326052283,0.2574492920253897,0.45454545454545453,12,9,546,346,10535.872124910355,6844.088107789741,6829.114714989662,18,0,11,364,174567,2184,569.4411084000021,1.0,0.6495986309104881,0.6481774488172966,False
llm:gemma3:12b:L2,HSF15_cooler_rnn,0,0.001239838544279325,0.001239838544279325,0.0,0.0,12,9,392,223,11170.767069339752,6466.520118443171,6451.516657143154,18,0,0,241,115455,1444,372.24493009981234,1.0,0.5788787894603709,0.5775356890978902,True
llm:gemma3:12b:L2,HSF15_cooler_rnn,1,0.6560556001622333,0.001239838544279325,0.654815761617954,0.7272727272727273,12,9,268,173,8857.520893573761,6122.88436257037,6107.975935970386,19,0,13,192,91912,1151,289.20522349962266,1.0,0.6912638915718051,0.689580753955861,False
llm:gemma3:12b:L2,HSF15_cooler_transformer,0,0.12905691506383576,0.014471546856203162,0.1145853682076326,0.45454545454545453,12,9,195,109,4522.173143386841,1761.2148168171943,1746.5089806172136,18,0,12,127,60710,762,180.3636159999005,1.0,0.3894620486596735,0.3862101085561668,False
llm:gemma3:12b:L2,HSF15_cooler_transformer,1,0.011643471564616648,0.0013228064488962916,0.010320665115720357,0.2727272727272727,12,9,341,236,4180.627424955368,3075.6581297490325,3060.7302510490977,18,0,6,254,121680,1524,326.8927040999115,1.0,0.7356929515865356,0.7321222247117067,False
random,HSF15_cooler_fcn,0,0.020620204193717448,0.0065373283659619745,0.014082875827755473,0.18181818181818182,12,6,346,152,14687.385870218277,6379.539548794424,6379.539548794424,99,87,6,0,0,0,0.0,1.0,0.4343550040262961,0.4343550040262961,False
random,HSF15_cooler_fcn,1,0.03407529089564819,0.024294771211850006,0.009780519683798183,0.09090909090909091,12,4,357,133,15251.890402555466,5904.584790460521,5904.584790460521,121,111,0,0,0,0,0.0,1.0,0.3871378979664844,0.3871378979664844,False
random,HSF15_cooler_mscnn,0,0.00491833966225385,0.00491833966225385,0.0,0.0,12,5,452,142,15074.175142765045,2892.7886536386472,2892.7886536386472,179,167,0,0,0,0,0.0,1.0,0.1919036117227987,0.1919036117227987,True
