scenario,unit_id,epoch,repeat,vote,latency_s,tokens,raw
0,HSF15_cooler_transformer_e7379,11,0,PRUNE,1.2660385000053793,486,DECISION: PRUNE
0,HSF15_cooler_transformer_e7379,11,1,PRUNE,0.8124734000011813,486,DECISION: PRUNE
0,HSF15_cooler_transformer_e7379,11,2,PRUNE,0.8043254000076558,486,DECISION: PRUNE
0,HSF15_cooler_transformer_e7379,11,3,PRUNE,0.8234245000057854,486,DECISION: PRUNE
0,HSF15_cooler_transformer_e7379,11,4,PRUNE,0.7486778000020422,486,DECISION: PRUNE
0,HSF15_cooler_transformer_e7379,11,5,PRUNE,1.2358248000091407,486,DECISION: PRUNE
0,HSF15_cooler_transformer_e7379,11,6,PRUNE,0.7457935999846086,486,DECISION: PRUNE
0,HSF15_cooler_transformer_e7379,11,7,PRUNE,0.73087279999163,486,DECISION: PRUNE
1,HSF15_cooler_transformer_d2229,7,0,PRUNE,1.218463299999712,485,DECISION: PRUNE
1,HSF15_cooler_transformer_d2229,7,1,PRUNE,0.7556872999994084,485,DECISION: PRUNE
1,HSF15_cooler_transformer_d2229,7,2,PRUNE,0.8018863999750465,485,DECISION: PRUNE
1,HSF15_cooler_transformer_d2229,7,3,PRUNE,0.7474767999956384,485,DECISION: PRUNE
1,HSF15_cooler_transformer_d2229,7,4,PRUNE,0.7943929999892134,485,DECISION: PRUNE
1,HSF15_cooler_transformer_d2229,7,5,PRUNE,1.2589823000016622,485,DECISION: PRUNE
1,HSF15_cooler_transformer_d2229,7,6,PRUNE,0.7325637000030838,485,DECISION: PRUNE
1,HSF15_cooler_transformer_d2229,7,7,PRUNE,0.7452118000073824,485,DECISION: PRUNE
2,HSF15_cooler_transformer_e81ec,18,0,PRUNE,1.2362825000018347,486,DECISION: PRUNE
2,HSF15_cooler_transformer_e81ec,18,1,PRUNE,0.7524654000008013,486,DECISION: PRUNE
2,HSF15_cooler_transformer_e81ec,18,2,PRUNE,0.7486680000147317,486,DECISION: PRUNE
2,HSF15_cooler_transformer_e81ec,18,3,PRUNE,0.7446672999940347,486,DECISION: PRUNE
2,HSF15_cooler_transformer_e81ec,18,4,PRUNE,0.7704514999932144,486,DECISION: PRUNE
2,HSF15_cooler_transformer_e81ec,18,5,PRUNE,1.2607391999918036,486,DECISION: PRUNE
2,HSF15_cooler_transformer_e81ec,18,6,PRUNE,0.8356429999985266,486,DECISION: PRUNE
2,HSF15_cooler_transformer_e81ec,18,7,PRUNE,0.8354890000191517,486,DECISION: PRUNE
3,HSF15_cooler_rnn_0f390,15,0,PRUNE,1.2403613000060432,486,DECISION: PRUNE
3,HSF15_cooler_rnn_0f390,15,1,PRUNE,0.7758912000281271,486,DECISION: PRUNE
3,HSF15_cooler_rnn_0f390,15,2,PRUNE,0.7548723999934737,486,DECISION: PRUNE
3,HSF15_cooler_rnn_0f390,15,3,PRUNE,0.7341737999813631,486,DECISION: PRUNE
