metric,llm,vs,n_pairs,llm_mean,other_mean,wilcoxon_stat,p_value
regret,llm:conservative:gemma3:12b:L2,arima,30,0.008095607340819091,0.03270421976871468,0.0,0.002217721464237049
regret,llm:conservative:gemma3:12b:L2,early-stopping,30,0.008095607340819091,0.12417758449273357,7.0,0.0010018794357967696
regret,llm:conservative:gemma3:12b:L2,last-seen,30,0.008095607340819091,0.012419202641785572,2.0,0.07473549830588248
regret,llm:conservative:gemma3:12b:L2,llm:aggressive:gemma3:12b:L2,30,0.008095607340819091,0.14762546531725068,0.0,8.857457687863547e-05
regret,llm:conservative:gemma3:12b:L2,llm:neutral:gemma3:12b:L2,30,0.008095607340819091,0.05098181094739894,18.0,0.009725523541639646
regret,llm:conservative:gemma3:12b:L2,oracle,30,0.008095607340819091,0.0,0.0,0.01775592261403605
regret,llm:conservative:gemma3:12b:L2,random,30,0.008095607340819091,0.07663327479550805,14.0,0.0011143315296273401
saved_pct_B,llm:conservative:gemma3:12b:L2,arima,30,0.16479754530069235,0.42370063477030423,3.0,1.7734839902903788e-05
saved_pct_B,llm:conservative:gemma3:12b:L2,early-stopping,30,0.16479754530069235,0.10021637781672672,147.0,0.0803273618221283
saved_pct_B,llm:conservative:gemma3:12b:L2,last-seen,30,0.16479754530069235,0.4080676831573807,3.0,1.7734839902903788e-05
saved_pct_B,llm:conservative:gemma3:12b:L2,llm:aggressive:gemma3:12b:L2,30,0.16479754530069235,0.6089761598984956,0.0,1.862645149230957e-09
saved_pct_B,llm:conservative:gemma3:12b:L2,llm:neutral:gemma3:12b:L2,30,0.16479754530069235,0.28884020839020536,56.0,0.00011058151721954346
saved_pct_B,llm:conservative:gemma3:12b:L2,oracle,30,0.16479754530069235,0.47678375289368463,9.0,6.146728992462158e-08
saved_pct_B,llm:conservative:gemma3:12b:L2,random,30,0.16479754530069235,0.3176876191353868,50.0,5.5925920605659485e-05
regret,llm:neutral:gemma3:12b:L2,arima,30,0.05098181094739894,0.03270421976871468,24.0,0.4235963177660037
regret,llm:neutral:gemma3:12b:L2,early-stopping,30,0.05098181094739894,0.12417758449273357,10.0,0.04085984371280629
regret,llm:neutral:gemma3:12b:L2,last-seen,30,0.05098181094739894,0.012419202641785572,15.0,0.03304694365260125
regret,llm:neutral:gemma3:12b:L2,llm:aggressive:gemma3:12b:L2,30,0.05098181094739894,0.14762546531725068,0.0,0.007685794055213263
regret,llm:neutral:gemma3:12b:L2,llm:conservative:gemma3:12b:L2,30,0.05098181094739894,0.008095607340819091,18.0,0.009725523541639646
regret,llm:neutral:gemma3:12b:L2,oracle,30,0.05098181094739894,0.0,0.0,0.00029247830381213256
regret,llm:neutral:gemma3:12b:L2,random,30,0.05098181094739894,0.07663327479550805,73.0,0.8684061308988609
saved_pct_B,llm:neutral:gemma3:12b:L2,arima,30,0.28884020839020536,0.42370063477030423,98.0,0.00466480478644371
saved_pct_B,llm:neutral:gemma3:12b:L2,early-stopping,30,0.28884020839020536,0.10021637781672672,10.0,8.009374141693115e-08
saved_pct_B,llm:neutral:gemma3:12b:L2,last-seen,30,0.28884020839020536,0.4080676831573807,104.0,0.007111456245183945
saved_pct_B,llm:neutral:gemma3:12b:L2,llm:aggressive:gemma3:12b:L2,30,0.28884020839020536,0.6089761598984956,0.0,1.862645149230957e-09
saved_pct_B,llm:neutral:gemma3:12b:L2,llm:conservative:gemma3:12b:L2,30,0.28884020839020536,0.16479754530069235,56.0,0.00011058151721954346
saved_pct_B,llm:neutral:gemma3:12b:L2,oracle,30,0.28884020839020536,0.47678375289368463,18.0,4.7124922275543213e-07
saved_pct_B,llm:neutral:gemma3:12b:L2,random,30,0.28884020839020536,0.3176876191353868,182.0,0.308520769700408
regret,llm:aggressive:gemma3:12b:L2,arima,30,0.14762546531725068,0.03270421976871468,0.0,0.002217721464237049
regret,llm:aggressive:gemma3:12b:L2,early-stopping,30,0.14762546531725068,0.12417758449273357,0.0,0.017960477526078766
regret,llm:aggressive:gemma3:12b:L2,last-seen,30,0.14762546531725068,0.012419202641785572,0.0,0.0002930525201924893
regret,llm:aggressive:gemma3:12b:L2,llm:conservative:gemma3:12b:L2,30,0.14762546531725068,0.008095607340819091,0.0,8.857457687863547e-05
regret,llm:aggressive:gemma3:12b:L2,llm:neutral:gemma3:12b:L2,30,0.14762546531725068,0.05098181094739894,0.0,0.007685794055213263
regret,llm:aggressive:gemma3:12b:L2,oracle,30,0.14762546531725068,0.0,0.0,2.6987022409679446e-05
regret,llm:aggressive:gemma3:12b:L2,random,30,0.14762546531725068,0.07663327479550805,2.0,0.00027641623202831126
saved_pct_B,llm:aggressive:gemma3:12b:L2,arima,30,0.6089761598984956,0.42370063477030423,33.0,5.973502993583679e-06
saved_pct_B,llm:aggressive:gemma3:12b:L2,early-stopping,30,0.6089761598984956,0.10021637781672672,0.0,1.862645149230957e-09
saved_pct_B,llm:aggressive:gemma3:12b:L2,last-seen,30,0.6089761598984956,0.4080676831573807,66.0,0.00031275488436222076
saved_pct_B,llm:aggressive:gemma3:12b:L2,llm:conservative:gemma3:12b:L2,30,0.6089761598984956,0.16479754530069235,0.0,1.862645149230957e-09
saved_pct_B,llm:aggressive:gemma3:12b:L2,llm:neutral:gemma3:12b:L2,30,0.6089761598984956,0.28884020839020536,0.0,1.862645149230957e-09
saved_pct_B,llm:aggressive:gemma3:12b:L2,oracle,30,0.6089761598984956,0.47678375289368463,28.0,2.7623027563095093e-06
saved_pct_B,llm:aggressive:gemma3:12b:L2,random,30,0.6089761598984956,0.3176876191353868,0.0,1.862645149230957e-09
